Geographic Area,2017,2018,2019
"Lewis County, Idaho",3884,3832,3838
"Lincoln County, Idaho",5376,5398,5366
"Madison County, Idaho",39370,39261,39907
"Minidoka County, Idaho",20722,20719,21039
"Nez Perce County, Idaho",40289,40256,40408
"Oneida County, Idaho",4389,4462,4531
"Owyhee County, Idaho",11618,11669,11823
"Payette County, Idaho",23163,23507,23951
"Power County, Idaho",7606,7700,7681
"Shoshone County, Idaho",12519,12790,12882
"Teton County, Idaho",11445,11651,12142
"Twin Falls County, Idaho",85374,86029,86878
"Valley County, Idaho",10667,11021,11392
"Washington County, Idaho",10051,10115,10194
"Adams County, Illinois",66057,65623,65435
"Alexander County, Illinois",6278,6041,5761
"Bond County, Illinois",16648,16637,16426
"Boone County, Illinois",53513,53480,53544
"Brown County, Illinois",6609,6563,6578
"Bureau County, Illinois",33137,32959,32628
"Calhoun County, Illinois",4851,4829,4739
"Carroll County, Illinois",14475,14314,14305
"Cass County, Illinois",12492,12312,12147
"Champaign County, Illinois",210425,209918,209689
"Christian County, Illinois",33007,32653,32304
"Clark County, Illinois",15812,15600,15441
"Clay County, Illinois",13270,13266,13184
"Clinton County, Illinois",37645,37697,37562
"Coles County, Illinois",51353,50829,50621
"Cook County, Illinois",5200821,5171960,5150233
"Crawford County, Illinois",18975,18830,18667
"Cumberland County, Illinois",10880,10804,10766
"DeKalb County, Illinois",104309,104349,104897
"De Witt County, Illinois",15906,15794,15638
"Douglas County, Illinois",19629,19458,19465
"DuPage County, Illinois",930265,927247,922921
"Edgar County, Illinois",17390,17360,17161
"Edwards County, Illinois",6448,6387,6395
"Effingham County, Illinois",34123,34181,34008
"Fayette County, Illinois",21514,21368,21336
"Ford County, Illinois",13298,13212,12961
"Franklin County, Illinois",38995,38695,38469
"Fulton County, Illinois",35104,34830,34340
"Gallatin County, Illinois",5071,5045,4828
"Greene County, Illinois",13156,13065,12969
"Grundy County, Illinois",50622,50973,51054
"Hamilton County, Illinois",8181,8148,8116
"Hancock County, Illinois",17958,17828,17708
"Hardin County, Illinois",3922,3893,3821
"Henderson County, Illinois",6819,6697,6646
"Henry County, Illinois",49219,49069,48913
"Iroquois County, Illinois",27777,27484,27114
"Jackson County, Illinois",57904,57289,56750
"Jasper County, Illinois",9523,9624,9610
"Jefferson County, Illinois",38045,37708,37684
"Jersey County, Illinois",21912,21795,21773
"Jo Daviess County, Illinois",21495,21331,21235
"Johnson County, Illinois",12399,12423,12417
"Kane County, Illinois",532272,532720,532403
"Kankakee County, Illinois",110540,109953,109862
"Kendall County, Illinois",126152,127717,128990
"Knox County, Illinois",50577,49978,49699
"Lake County, Illinois",702475,699587,696535
"LaSalle County, Illinois",109622,109159,108669
"Lawrence County, Illinois",16027,15813,15678
"Lee County, Illinois",34540,34296,34096
"Livingston County, Illinois",36124,35714,35648
"Logan County, Illinois",29034,28912,28618
"McDonough County, Illinois",30373,29984,29682
"McHenry County, Illinois",307815,308251,307774
"McLean County, Illinois",172754,172410,171517
"Macon County, Illinois",105399,104504,104009
"Macoupin County, Illinois",45505,45318,44926
"Madison County, Illinois",265251,264026,262966
"Marion County, Illinois",37726,37381,37205
"Marshall County, Illinois",11668,11483,11438
"Mason County, Illinois",13677,13533,13359
