,EVENT_ID,STATE
2127,808397,ATLANTIC SOUTH
2136,811495,FLORIDA
2137,819299,ATLANTIC SOUTH
2144,832396,GULF OF MEXICO
2145,832397,GULF OF MEXICO
2146,832403,GULF OF MEXICO
2147,826065,KENTUCKY
2148,826067,KENTUCKY
2149,826068,KENTUCKY
2150,808398,ATLANTIC SOUTH
2151,811508,GULF OF MEXICO
2158,805148,CALIFORNIA
2167,826077,KENTUCKY
2168,826078,KENTUCKY
2169,826079,KENTUCKY
2170,826081,KENTUCKY
2171,808400,ATLANTIC SOUTH
2190,792082,GEORGIA
2191,792085,ALABAMA
2192,801605,ARKANSAS
2197,826070,KENTUCKY
2198,826071,KENTUCKY
2199,826073,KENTUCKY
2209,826082,KENTUCKY
2210,826086,KENTUCKY
2211,826087,KENTUCKY
2212,826915,KENTUCKY
2213,827486,KENTUCKY
2217,808312,GULF OF MEXICO
2227,803595,ARKANSAS
2228,803599,ARKANSAS
2229,827487,KENTUCKY
2230,828280,KENTUCKY
2231,832934,ILLINOIS
2232,832935,ILLINOIS
2236,808241,FLORIDA
2238,828727,GULF OF MEXICO
2239,828729,GULF OF MEXICO
2240,828759,FLORIDA
2241,828761,FLORIDA
2242,828762,FLORIDA
2243,828763,FLORIDA
2244,828953,GULF OF MEXICO
2245,828992,GULF OF MEXICO
2246,797942,INDIANA
2247,797943,KENTUCKY
2248,797945,KENTUCKY
2249,797946,KENTUCKY
2250,797947,KENTUCKY
2251,797948,MISSOURI
2252,797949,MISSOURI
2266,803607,ARKANSAS
2267,803609,ARKANSAS
2268,803614,ARKANSAS
2269,803616,ARKANSAS
