,EVENT_ID,COUNTY
1920,818835,SUMNER
1921,818834,WARREN
1922,818836,COFFEE
1928,816162,UNION
1929,816164,CHAMPAIGN
1930,816165,ROSS
1931,816234,AUGLAIZE
1932,818919,JUDITH BASIN
1934,825502,Galveston
1935,825503,Galveston
1936,825510,Galveston
1937,832132,HARRIS
1938,832135,SAN JACINTO
1939,823751,CHATHAM
1942,816984,RICHARDSON
1943,816985,RICHARDSON
1944,816987,SARPY
1945,816989,RICHARDSON
1946,829881,RICHARDSON
1949,817055,BENTON
1950,818832,WILLIAMSON
1951,816151,KENTON
1952,816154,BRACKEN
1953,816157,AUGLAIZE
1954,816158,LOGAN
1955,816161,MIAMI
1960,816664,POTTAWATTAMIE
1963,816608,NEMAHA
1965,818594,Brevard
1966,816616,COLFAX
1967,816617,BUTLER
1968,816618,PLATTE
1969,816619,PLATTE
1970,816621,PLATTE
1971,816622,PLATTE
1972,816623,LANCASTER
1973,816624,SEWARD
1974,816626,SEWARD
1975,816628,STANTON
1979,832949,NEMAHA
1981,823747,BERKELEY
1985,822353,Martin
1987,818918,TETON
1994,816983,RICHARDSON
1995,817297,LATAH
1996,818830,CUMBERLAND
1997,856709,COTTONWOOD
1998,856735,AURORA
2000,856737,DAVISON
2002,814078,AUGLAIZE
2003,814081,LOGAN
2004,814082,CHAMPAIGN
2005,814084,MERCER
2006,816673,FREMONT
2007,816676,POTTAWATTAMIE
2009,811222,RIPLEY
2010,856697,ROCK
2011,856706,LYON
2012,815202,NEMAHA
2017,811216,BRACKEN
2018,811217,KENTON
2019,811218,FAYETTE
2020,811219,SCIOTO
2021,811220,FRANKLIN
2026,815201,MONTGOMERY
2031,848645,CASSIA
2032,848653,CARIBOU
2033,848655,BLAINE
2034,832145,LIBERTY
2035,832497,HARRIS
2036,832498,HARRIS
2037,863830,BRAZORIA
2038,851423,WASHINGTON
2039,853617,HARRIS
2044,818916,GLACIER
2046,816239,DEARBORN
2047,816332,LOGAN
2048,816333,LOGAN
2049,856477,DALLAS
2050,818926,CASCADE
2051,818960,LEWIS AND CLARK
2052,856502,DALLAS
2053,808891,GREGG
2054,808892,CHEROKEE
2055,808893,CHEROKEE
2057,818917,LEWIS AND CLARK
2058,856503,ELLIS
2059,811703,PHILADELPHIA
2060,811704,BUCKS
2061,811705,MONTGOMERY
2062,808895,CHEROKEE
2068,811709,TALBOT
2070,816347,CLERMONT
2071,816348,BROWN
2072,816349,SCIOTO
2073,816350,SCIOTO
2074,816337,SHELBY
2075,816340,UNION
2076,808889,NATCHITOCHES
